long,lat,storeName
-73.9812843,40.5947365,Lb Spumoni Gardens
-73.8344778,40.7692995,Amore Pizzeria & Restaurant
-73.86697,40.897947,The Lark'S Nest
-73.8786113,40.8502883,Terrace Cafe
-73.8786113,40.8502883,African Terrace
-73.8786113,40.8502883,Cool Zone
-73.8786113,40.8502883,African Market (Baboon Cafe)
-73.8786113,40.8502883,Beaver Pond
-74.1005771,40.6134163,Roadhouse Restaurant
-73.971128,40.749869,Ford Foundation Cafeteria
-74.000667,40.736224,Elephant & Castle
-73.977056,40.752998,Oyster Bar
-73.9843122,40.7258174,Cherry Tavern
-73.9827221,40.7561037,Red Flame Diner
-74.099018,40.581165,Colonnade Diner
-73.9537859,40.775493,Brady'S Bar
-73.9181846,40.6157107,Mill Basin Kosher Deli
-73.977114,40.756295,Maggies Place
-74.0062401,40.7397546,Da Silvano Restaurant
-73.9765607,40.7443236,Benjamin
-73.984838,40.756594,Jimmy'S Corner
-73.9789394,40.6429349,Denny'S Pub
-74.003403,40.733235,Maries Crisis Cafe
-74.0034102,40.7335084,Boots & Saddle Bar
-74.0078144,40.6202393,New Parkway Restaurant
153.1628795,-28.0168595,Sammy'S Steakhouse
-74.000399,40.740848,Cafe Riazor
-73.9714599,40.759647,The Brook
-73.998254,40.7179289,Il Cortile Restaurant
-74.002139,40.7261357,Raouls
-73.943476,40.718386,Frost Restaurant
-73.976915,40.757028,Hatsuhana Restaurant
-73.9668354,40.7568328,La Mangeoire
-73.814835,40.7288261,Valentino'S Pizza
-73.970169,40.764834,Viand Coffee Shop
-73.970668,40.751453,Palm Too
-91.5971285,41.6823902,Steve'S Coffee Shop
-73.9100082,40.8863835,Blue Bay Restaurant
-73.9717,40.756457,Nada-Sushi
-73.942599,40.67096,The Hytes Bar
-73.7796156,40.7298006,P.J.' S
-73.9486257,40.7813724,Reif'S Tavern
-74.1018239,40.630788,Jody'S Club
-73.8335566,40.7703224,Whitestone Lanes
-73.8818014,40.7347681,John'S Pizzeria
-73.790804,40.8541848,Seashore Restaurant
-73.760782,40.761876,Marbella Restaurant
-74.0004169,40.7302678,Caffe Reggio
-73.984126,40.7567949,Cafe Un Deux Trois
-73.8822865,40.6481972,Armando'S Pizza
-73.9818416,40.7760336,Dan Tempura
-73.994428,40.7320132,Knickerbocker Bar & Grill
-73.9873049,40.7592843,Pergola Des Artistes
-73.9808063,40.6895078,Mcdonald'S
-73.9735762,40.74754,El Pote Espanol
-73.9452351,40.7177182,Cafe Capri
-73.9947228,40.703195,The River Cafe
-74.012376,40.703721,White Horse Tavern
-73.8553456,40.8426433,Bronx Grill
-74.0089396,40.7151413,Mudville Saloon
-73.9321666,40.6632351,White Castle
-73.7826735,40.8377713,Johnny'S Reef Restaurant
-72.7329266,41.3099228,White Castle
-73.921265,40.743009,White Castle
-73.993031,40.6417669,White Castle
-74.0018435,40.684236,Ferdinando'S Restaurant
-73.8451846,40.7200906,Mcdonald'S
-73.9623333,40.7757194,Viand Cafe
-73.9624221,40.7762084,Nectar Coffee Shop
-74.0030657,40.7230087,The Cupping Room
-73.9308722,40.656262,Mcdonald'S
-73.9866918,40.7364597,Pete'S Tavern
-73.7566136,40.7483444,Gino'S Pizzeria
-74.002001,40.7285929,Villa Mosconi Restaurant
-74.0075542,40.7077614,Jim Brady'S Restaurant
-73.9035553,40.878342,P & K'S Grill
-73.9030535,40.8812538,Mcdonald'S
-73.9395471,40.8420198,Reme Restaurant
-73.9598324,40.7798381,The New Amity Restaurant
-74.0004126,40.7315763,Volare Restaurant
-73.97213,40.7528838,Sparks Steak House
-73.807954,40.715159,The Dart Inn
-73.951199,40.7166026,Bamonte'S Restaurant
-73.9996841,40.7543101,Mcdonald'S
-73.8456653,40.7823455,Pizza Town
-73.8672049,40.8977501,John Mulligan'S Fireside Pub
-73.759249,40.761574,Burger King
-74.0094737,40.7258405,Ear Inn
-73.8970714,40.7543896,Burger King
-73.8206678,40.7647441,Burger King
-73.977597,40.779593,Mughlai Restaurant
-73.9581492,40.7177363,Greenpoint Tavern
-74.1680654,40.5595469,Mcdonald'S
-73.922642,40.701015,Tony'S Pizzeria
-73.9788758,40.7491708,Rossini'S
-73.9072564,40.7601082,Pat'S Stationary
-73.964082,40.7741339,Three Guy'S Restaurant
-73.9574128,40.7701235,Cucina Vivolo
-73.986685,40.737564,The Players Club
-74.0007509,40.7287609,Cafe Espanol
-73.7310899,40.7603325,Tjk Cafe & Restaurant
-73.9704988,40.7552269,Smith & Wollensky
-73.802319,40.780748,Mcdonald'S
-74.000578,40.730204,Olive Tree Cafe & Comedy Cellar
-74.146976,40.625178,Perkins Family Restaurant & Bakery
-73.7007391,40.7389554,Burger King
-73.9195106,40.6527642,Burger King
